Timestamp,TSLA,NFLX,AMZN,META
2024-07-23 10:41:48,248.58,643.44,188.41,492.49
0,2024-07-23 10:45:48,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:49,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:50,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:50,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:52,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:52,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:54,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:55,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:56,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:56,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:57,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:58,248.58,643.44,188.38,492.49
0,2024-07-23 10:45:59,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:01,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:02,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:03,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:03,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:05,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:05,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:06,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:07,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:08,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:09,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:10,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:11,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:12,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:13,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:14,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:15,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:15,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:16,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:17,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:18,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:19,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:20,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:21,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:22,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:23,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:23,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:25,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:25,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:27,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:27,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:28,248.58,643.44,188.38,492.49
0,2024-07-23 10:46:29,248.58,643.44,188.38,492.49
